"channel","version","build_id","application","os_name","os_version","architecture","country","experiment_id","experiment_branch","e10s_enabled","e10s_cohort","gfx_compositor","quantum_ready","usage_hours","count","main_crashes","content_crashes","gpu_crashes","plugin_crashes","gmplugin_crashes","content_shutdown_crashes","first_paint","first_subsession_count","browser_shim_usage_blocked","permissions_sql_corrupted","defective_permissions_sql_removed","slow_script_notice_count","slow_script_page_count","input_event_response_coalesced_ms_main_above_150","input_event_response_coalesced_ms_main_above_250","input_event_response_coalesced_ms_main_above_2500","input_event_response_coalesced_ms_content_above_150","input_event_response_coalesced_ms_content_above_250","input_event_response_coalesced_ms_content_above_2500","ghost_windows_main_above_1","ghost_windows_content_above_1","gc_max_pause_ms_2_main_above_150","gc_max_pause_ms_2_main_above_250","gc_max_pause_ms_2_main_above_2500","gc_max_pause_ms_2_content_above_150","gc_max_pause_ms_2_content_above_250","gc_max_pause_ms_2_content_above_2500","cycle_collector_max_pause_main_above_150","cycle_collector_max_pause_main_above_250","cycle_collector_max_pause_main_above_2500","cycle_collector_max_pause_content_above_150","cycle_collector_max_pause_content_above_250","cycle_collector_max_pause_content_above_2500","window_start","window_end"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","53.0.3","18ab67c981531cf66bdcfb0db6dcb0387887acab412d3f4d9b15b4c136cd373f","Firefox","Windows_NT","10.0","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","b841241f54d3fe3edeb4c6db6488fb8358d6a4819be47cceaf8630e0a21b936d","null","null","true","test","d3d11","true","6.068888905458152","9","null","null","null","null","null","null","101358","7","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","10.0","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","398e512a5d7a054efffd5ae00400aeae7a473e0b361ce419be640a587b9dcec2","null","null","false","disqualified-test","d3d11","false","0.07972222357057035","3","null","null","null","null","null","null","4468","3","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.3","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","b9b4dd44079166051a4a6be13bd684720b86fd937448ead96f81ac32b0c7760c","null","null","false","disqualified-test","d3d11","false","22.833611892536283","4","null","null","null","null","null","null","17887","2","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","50fa6af02276e56954e0b75df3da64fed1a4a35f6e97c0a5c7cf777e1e71ee47","null","null","true","multiBucket4","basic","true","12.65416709962301","6","null","null","null","null","null","null","50532","6","1","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"e989d8cad67c41c6d5ab3c3f8c20c01079071e1bad2505c7d949c2b0996826c7","55.0","510951f48abf4f75d3c5130e59553d42901bbefcde858382b2296778224c3ee9","Firefox","Windows_NT","10.0","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","390d0c6825bcd06b40d7a2f583d45fe79206c672c5b371602f9e613516eec0c0","null","null","false","disqualified-test","basic","false","0.08611111342906952","1","null","null","null","null","null","null","null","0","null","null","null","null","null","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","49.0.2","43667e413779391e378a596459fa618499689110a938e7340eca09644a87e0ea","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","70153716c6a6fe9c1efc58540e55d5398b88adc531644a6762209db33ceeb293","null","null","false","disqualified-test","d3d11","false","15.663888931274414","1","null","null","null","null","null","null","1606","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","48.0.2","d53b8e9759a3f79c1b9dd92fb7fa78f6ed7f2cb6dfded01a1066c307240a0494","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","d8c4addaa80d3b3364b4e07147b3b2935ea5a53e0405516005cd1ff66e4ede5d","null","null","false","control","basic","false","0.3716666662367061","3","null","null","null","null","null","null","8666","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Windows_NT","6.1","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","2f38456ea522d7856944e147ea1d9c5c8c1403755658c25ac9296fc4ae251111","null","null","false","disqualified-test","d3d11","false","1.8166667222976685","1","null","null","null","null","null","null","22598","1","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","42.0","d2e76833191a7a79e54ff912f5fb7cafd042c877ebff4d18f420742f3c0f4e52","Firefox","Windows_NT","10.0","b2182f2320fd3d4c79f5d495a646d85592924ffdd8ccdb3a5f3332ff6c979396","ebf1416a583831d7026ea84b9bc1f56d6c2c2d713348e4bbd41172428e024645","null","null","false","null","d3d11","null","1.1333333253860474","1","null","null","null","null","null","null","null","0","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
"0f6dd3b182202a2f331cde5fc45f6a583fcb4747a84608941b63ff5b30a9b6f8","54.0","e2a3cb49ad4df9f8be95066a8c2c8216ce63ac343d52d156720cefc264f8f6e5","Firefox","Darwin","15.3.0","8514991713e2cdb894c39a62b607a15bc1fb088cce009906770c989847a87577","09cc1c078c642a984e99723680af9911a76b5f3cbcdfe0006f586df97dfa2e01","null","null","false","disqualified-test","opengl","false","25.561111450195312","3","null","null","null","null","null","null","25346","2","null","null","null","null","null","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-06-29 06:30:00.0","2017-06-29 06:35:00.0"
